trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,3634.055266499985,3634.9962395001203,3635.067745000124,down,1,0.7145127998664975,-5,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
1,0,1,0,3635.734631500207,3636.7342576999217,3636.7342576999217,up,0,0.7084980001673102,-2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
2,0,2,0,3637.4675894998945,3638.46686600009,3638.46686600009,up,1,0.6832085000351071,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
3,0,3,0,3639.167185500264,3640.154292699881,3640.170075400267,down,1,0.7145040999166667,2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
4,0,4,0,3640.905824400019,3641.9017022000626,3641.9181749001145,up,1,0.6921451999805868,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
5,0,5,0,3642.6191775002517,3643.6174449999817,3643.633865199983,down,0,0.8647127998992801,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
6,0,6,0,3644.5027135000564,3645.5001234998927,3645.5165766999125,down,1,2.46663870010525,-2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
7,0,7,0,3647.9987280000933,3648.9987413999625,3648.9987413999625,down,1,0.7162283998914063,2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
8,0,8,0,3649.73288420029,3650.731083400082,3650.7479670001194,up,0,0.5200319001451135,-2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
9,0,9,0,3651.2825193000026,3652.282967899926,3652.299508200027,down,1,0.6453736000694335,2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
10,0,10,0,3652.9500207002275,3653.9474844001234,3653.9641435001977,up,1,0.5188484000973403,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
11,0,11,0,3654.4972922001034,3655.4977261000313,3655.4977261000313,down,1,0.5253878002986312,4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
12,0,12,0,3656.0473996000364,3657.0467528002337,3657.0467528002337,down,1,0.5575207001529634,-5,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
13,0,13,0,3657.6296842000447,3658.6300941002555,3658.6300941002555,down,1,0.5062500000931323,2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
